🚀 Starting Pi Monitor...
✅ Data pushed: {'timestamp': 1771356794674, 'cpu_temp': 42.5, 'cpu_usage': 4.2, 'memory_usage': 60.6, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356800994, 'cpu_temp': 41.4, 'cpu_usage': 5.5, 'memory_usage': 60.6, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356807328, 'cpu_temp': 41.9, 'cpu_usage': 3.8, 'memory_usage': 60.5, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356813741, 'cpu_temp': 41.9, 'cpu_usage': 5.2, 'memory_usage': 61.2, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356820062, 'cpu_temp': 42.5, 'cpu_usage': 5.3, 'memory_usage': 61.2, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356826418, 'cpu_temp': 41.9, 'cpu_usage': 6.5, 'memory_usage': 61.2, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356832820, 'cpu_temp': 41.4, 'cpu_usage': 4.8, 'memory_usage': 61.1, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356839133, 'cpu_temp': 43.5, 'cpu_usage': 3.3, 'memory_usage': 61.0, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356845467, 'cpu_temp': 42.5, 'cpu_usage': 4.3, 'memory_usage': 61.1, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356851775, 'cpu_temp': 43.0, 'cpu_usage': 5.2, 'memory_usage': 61.0, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356858182, 'cpu_temp': 41.9, 'cpu_usage': 4.0, 'memory_usage': 61.0, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356864531, 'cpu_temp': 42.5, 'cpu_usage': 4.0, 'memory_usage': 61.1, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356870938, 'cpu_temp': 41.4, 'cpu_usage': 4.0, 'memory_usage': 61.0, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356877276, 'cpu_temp': 43.0, 'cpu_usage': 4.2, 'memory_usage': 61.0, 'disk_usage': 21.5}
✅ Data pushed: {'timestamp': 1771356883653, 'cpu_temp': 41.9, 'cpu_usage': 5.8, 'memory_usage': 60.8, 'disk_usage': 21.5}
